,Description (also set on the server),Exp (also set on the server),Card,Tome Section,Index,Flag 1,Flag 2,"Flag 3 ",Flag 4,Flag 5,Flag 6,Flag 7,Flag 8,Flag 9,Flag 10,Flag 11,Flag 12,Flag 13,Flag 14,Flag 15,Flag 16,Flag 17,Flag 18,Flag 19,Flag 20,Flag 21,Flag 22,Flag 23,Flag 24,Flag 25,Flag 26,Flag 27,Flag 28,Flag 29,Flag 30,Flag 31,Flag 32,Flag 33,Flag 34,Flag 35,Flag 36
34,Greenskin Epilogue,2250,,20,132,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Chaos Prologue,50,,20,200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Chaos Capitol - Inevitable City,300,,20,235,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Chaos Chapter 1,50,,20,201,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Chaos Chapter 2,126,,20,202,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Chaos Chapter 3,204,,20,203,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"Chaos Warcamp 1 (Blessed Gathering, Norsca (in real Nordland))",204,,20,204,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Chaos Chapter 4,266,,20,205,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Chaos Chapter 5,336,,20,206,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Chaos Chapter 6,414,,20,207,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"Chaos Warcamp 2 (Raven's Edge, Ostland)",414,,20,208,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Chaos Chapter 7,500,,20,209,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Chaos Chapter 8,594,,20,210,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Chaos Chapter 9,696,,20,211,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Chaos Chapter 10,806,,20,212,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Chaos Chapter 11,924,,20,213,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"Chaos Warcamp 3 (Hellfang Ridge, Talabecland)",924,,20,214,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Chaos Chapter 12,1050,,20,215,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Chaos Chapter 13,1184,,20,216,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Chaos Chapter 14,1326,,20,217,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Chaos Chapter 15,1476,,20,218,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"Chaos Warcamp 4 (Darkstone Vantage, Reikland)",1476,,20,219,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Chaos Chapter 16,1634,,20,220,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Chaos Chapter 17,1800,,20,221,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Chaos Chapter 18,1886,,20,222,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"Chaos Warcamp 5 (Ravensworn, Praag)",1886,,20,223,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Chaos Chapter 19,1974,,20,224,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Chaos Chapter 20,2064,,20,225,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"Chaos Warcamp 6 (Seven Shades Creep, Chaos Wastes)",2064,,20,226,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Chaos Chapter 21,2156,,20,227,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Chaos Chapter 22,2250,,20,228,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Chaos Epilogue,2250,,20,229,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Dark Elf Prologue,50,,20,300,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Dark Elf Capitol - TBD,300,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Dark Elf Chapter 1,50,,20,301,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Dark Elf Chapter 2,126,,20,302,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Dark Elf Chapter 3,204,,20,303,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"Dark Elf Warcamp 1 (Cynathai Span, Blighted Isles)",204,,20,304,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Dark Elf Chapter 4,266,,20,305,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Dark Elf Chapter 5,336,,20,306,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Dark Elf Chapter 6,414,,20,307,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"Dark Elf Warcamp 2 (Oath's End, Shadowlands)",414,,20,308,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Dark Elf Chapter 7,500,,20,309,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Dark Elf Chapter 8,594,,20,310,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Dark Elf Chapter 9,696,,20,311,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Dark Elf Chapter 10,806,,20,312,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Dark Elf Chapter 11,924,,20,313,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"Dark Elf Warcamp 3 (Isha's Fall, Avelorn)",924,,20,314,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Dark Elf Chapter 12,1050,,20,315,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Dark Elf Chapter 13,1184,,20,316,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Dark Elf Chapter 14,1326,,20,317,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Dark Elf Chapter 15,1476,,20,318,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"Dark Elf Warcamp 4 (Conqueror's Watch, Caledor)",1476,,20,319,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Dark Elf Chapter 16,1634,,20,320,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Dark Elf Chapter 17,1800,,20,321,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Dark Elf Chapter 18,1886,,20,322,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"Dark Elf Warcamp 5 (Drakeslayer Hold, Dragonwake)",1886,,20,323,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Dark Elf Chapter 19,1974,,20,324,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Dark Elf Chapter 20,2064,,20,325,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"Dark Elf Warcamp 6 (Ebonhold Watch, Eataine)",2064,,20,326,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Dark Elf Chapter 21,2156,,20,327,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Dark Elf Chapter 22,2250,,20,328,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Dark Elf Epilogue,2250,,20,329,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Dwarf Prologue,50,,20,400,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Dwarf Capitol - Karaz-A-Karak,300,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Dwarf Chapter 1,50,,20,401,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Dwarf Chapter 2,126,,20,402,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Dwarf Chapter 3,204,,20,403,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,"Dwarf Warcamp 1 (Grudgekeg's Guard, Ekrund)",204,,20,404,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,*REMOVED*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Dwarf Chapter 4,266,,20,406,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Dwarf Chapter 5,336,,20,407,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Dwarf Chapter 6,414,,20,408,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,"Dwarf Warcamp 2 (Goldpeak's Overlook, Barak Varr)",414,,20,409,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,"Dwarf Warcamp 3 (Thurarikson's Warcamp, Marshes of Madness)",414,,20,410,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Dwarf Chapter 7,500,,20,411,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Dwarf Chapter 8,594,,20,412,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Dwarf Chapter 9,696,,20,413,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Dwarf Chapter 10,806,,20,414,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Dwarf Chapter 11,924,,20,415,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,"Dwarf Warcamp 4 (Odinadotr's Watch, Black Fire Pass)",924,,20,416,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,"Dwarf Warcamp 5 (Dour Guard, Badlands)",924,,20,417,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Dwarf Chapter 12,1050,,20,418,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Dwarf Chapter 13,1184,,20,419,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Dwarf Chapter 14,1326,,20,420,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Dwarf Chapter 15,1476,,20,421,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"Dwarf Warcamp 6 (Hammerstriker Point, Thunder Mountain)",1476,,20,422,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Dwarf Chapter 16,1634,,20,423,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Dwarf Chapter 17,1800,,20,424,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Dwarf Chapter 18,1886,,20,425,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,"Dwarf Warcamp 7 (Kargrund's Stand, Black Crag)",1886,,20,426,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Dwarf Chapter 19,1974,,20,427,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Dwarf Chapter 20,2064,,20,428,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,"Dwarf Warcamp 8 (Gharvin's Brace, Kadrin Valley)",2064,,20,429,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Dwarf Chapter 21,2156,,20,430,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Dwarf Chapter 22,2250,,20,431,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Dwarf Epilogue,2250,,20,432,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Empire Prologue,50,,20,500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Empire Capitol - Altdorf,300,,20,535,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Empire Chapter 1,50,,20,501,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Empire Chapter 2,126,,20,502,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Empire Chapter 3,204,,20,503,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,"Empire Warcamp 1 (Arnholdt's Company, Nordland)",204,,20,504,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Empire Chapter 4,266,,20,505,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Empire Chapter 5,336,,20,506,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Empire Chapter 6,414,,20,507,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,"Empire Warcamp 2 (Blackbramble Hollow, Troll Country)",414,,20,508,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Empire Chapter 7,500,,20,509,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Empire Chapter 8,594,,20,510,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Empire Chapter 9,696,,20,511,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Empire Chapter 10,806,,20,512,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Empire Chapter 11,924,,20,513,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,"Empire Warcamp 3 (Dogbite Ridge, High Pass)",924,,20,514,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Empire Chapter 12,1050,,20,515,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Empire Chapter 13,1184,,20,516,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Empire Chapter 14,1326,,20,517,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Empire Chapter 15,1476,,20,518,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,"Empire Warcamp 4 (Deathwatch Landing, Reikland)",1476,,20,519,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Empire Chapter 16,1634,,20,520,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Empire Chapter 17,1800,,20,521,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Empire Chapter 18,1886,,20,522,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,"Empire Warcamp 5 (Westmark Barricade, Praag)",1886,,20,523,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Empire Chapter 19,1974,,20,524,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Empire Chapter 20,2064,,20,525,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,"Empire Warcamp 6 (Tannenbach's Doom, Chaos Wastes)",2064,,20,526,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Empire Chapter 21,2156,,20,527,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Empire Chapter 22,2250,,20,528,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Empire Epilogue,2250,,20,529,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,High Elf Prologue,50,,20,600,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,High Elf Capitol - TBD,300,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,High Elf Chapter 1,50,,20,601,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,High Elf Chapter 2,126,,20,602,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,High Elf Chapter 3,204,,20,603,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,"High Elf Warcamp 1 (Tor Aendris, Blighted Isles)",204,,20,604,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,High Elf Chapter 4,266,,20,605,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,High Elf Chapter 5,336,,20,606,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,High Elf Chapter 6,414,,20,607,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,"High Elf Warcamp 2 (Bladewatch, Shadowlands)",414,,20,608,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,High Elf Chapter 7,500,,20,609,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,High Elf Chapter 8,594,,20,610,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,High Elf Chapter 9,696,,20,611,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,High Elf Chapter 10,806,,20,612,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,High Elf Chapter 11,924,,20,613,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,"High Elf Warcamp 3 (Gaen Mere, Avelorn)",924,,20,614,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,High Elf Chapter 12,1050,,20,615,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,High Elf Chapter 13,1184,,20,616,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,High Elf Chapter 14,1326,,20,617,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,High Elf Chapter 15,1476,,20,618,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,"High Elf Warcamp 4 (Conqueror's Descent, Caledor)",1476,,20,619,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,High Elf Chapter 16,1634,,20,620,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,High Elf Chapter 17,1800,,20,621,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,High Elf Chapter 18,1886,,20,622,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,"High Elf Warcamp 5 (Drakewarden Keep, Dragonwake)",1886,,20,623,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,High Elf Chapter 19,1974,,20,624,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,High Elf Chapter 20,2064,,20,625,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,"High Elf Warcamp 6 (Eataine Mustering, Eataine)",2064,,20,626,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,High Elf Chapter 21,2156,,20,627,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,High Elf Chapter 22,2250,,20,628,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,High Elf Epilogue,2250,,20,629,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Destruction Dungeon 1,924,,20,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Destruction Dungeon 2,924,,20,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Destruction Dungeon 3,924,,20,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Destruction Dungeon RvR,924,,20,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Order Dungeon 1,924,,20,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Order Dungeon 2,924,,20,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Order Dungeon 3,924,,20,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Order Dungeon RvR,924,,20,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Greenskin Fortress,1050,,20,134,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Chaos Fortress,1050,,20,234,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Dark Elf Fortress,1050,,20,334,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Dwarf Fortress,1050,,20,434,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Empire Fortress,1050,,20,534,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,High Elf Fortress,1050,,20,634,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Greenskin Fortress Lord,50,,20,134,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Chaos Fortress Lord,50,,20,234,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Dark Elf Fortress Lord,50,,20,334,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Dwarf Fortress Lord,50,,20,434,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Empire Fortress Lord,50,,20,534,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,High Elf Fortress Lord,50,,20,634,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Hidden Influence,,,20,635,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Hidden Influence,,,20,636,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,"Dwarf Tier 1 RVR ",50,,20,136,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,"Dwarf Tier 2 RVR ",50,,20,137,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,"Dwarf Tier 3 RVR ",50,,20,138,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,"Dwarf Tier 4 RVR ",50,,20,139,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
